Transaction Date,Post Date,Description,Category,Type,Amount,Memo
04/26/2026,04/27/2026,AMAZON.COM*A1B2C3D4,Shopping,Sale,-34.27,
04/25/2026,04/26/2026,STARBUCKS #4421,Food & Drink,Sale,-6.85,
04/24/2026,04/25/2026,SHELL OIL 12345,Gas,Sale,-48.10,
04/22/2026,04/23/2026,Payment Thank You-Mobile,,Payment,420.55,
04/20/2026,04/21/2026,PAYPAL *FABLETICSLL,Shopping,Return,165.09,
04/20/2026,04/21/2026,PAYPAL *FABLETICSLL,Shopping,Return,89.20,
04/18/2026,04/19/2026,WHOLEFDS NYC,Groceries,Sale,-112.30,
04/15/2026,04/16/2026,UBER TRIP,Travel,Sale,-18.40,
04/13/2026,04/14/2026,FABLETICS LLC,Shopping,Sale,-239.28,
04/10/2026,04/11/2026,FABLETICS LLC,Shopping,Sale,-165.09,
04/10/2026,04/11/2026,PAYPAL *FABLETICSLL,Shopping,Return,92.44,
04/05/2026,04/06/2026,COSTCO WHSE #0421,Groceries,Sale,-184.67,
04/03/2026,04/04/2026,NETFLIX.COM,Entertainment,Sale,-15.99,
04/01/2026,04/02/2026,SPOTIFY USA,Entertainment,Sale,-9.99,
03/28/2026,03/29/2026,TRADER JOE'S #123,Groceries,Sale,-67.42,
03/22/2026,03/23/2026,ANNUAL FEE,Fees & Adjustments,Fee,-95.00,
03/17/2026,03/18/2026,B&N MEMBERSHIP RENEWAL,Shopping,Return,27.56,
03/15/2026,03/16/2026,APPLE.COM/BILL,Bills & Utilities,Sale,-2.99,
03/10/2026,03/11/2026,LOCAL CAFE,Food & Drink,Sale,-12.75,
03/05/2026,03/06/2026,REI #51,Shopping,Sale,-129.00,
