Posted Date,Reference Number,Payee,Address,Amount
04/26/2026,0000000001,TARGET 00012345,MINNEAPOLIS MN,-67.42
04/24/2026,0000000002,WALGREENS #4488,SEATTLE WA,-18.75
04/22/2026,0000000003,BK OF AMER PMT - THANK YOU,,-340.00
04/20/2026,0000000004,SHELL GAS STATION,PORTLAND OR,-43.20
04/18/2026,0000000005,LYFT *RIDE,SAN FRANCISCO CA,-22.15
04/15/2026,0000000006,REFUND - TARGET,MINNEAPOLIS MN,15.99
04/12/2026,0000000007,HULU.COM,,-7.99
04/10/2026,0000000008,SAFEWAY #2280,DENVER CO,-94.30
04/08/2026,0000000009,MCDONALDS F12345,CHICAGO IL,-12.50
04/05/2026,0000000010,COSTCO GAS #0421,SEATTLE WA,-52.80
04/02/2026,0000000011,DOORDASH*PIZZAJOINT,SAN FRANCISCO CA,-28.40
03/28/2026,0000000012,ANNUAL FEE,,-49.00
