Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,04/25/2026,DIRECT DEPOSIT - ACME PAYROLL,3850.00,ACH_CREDIT,5240.18,
DEBIT,04/22/2026,CHASE CREDIT CRD AUTOPAY,-420.55,ACH_DEBIT,1390.18,
DEBIT,04/20/2026,RENT PAYMENT,-1800.00,ACCT_XFER,1810.73,
DEBIT,04/18/2026,COMCAST XFINITY,-89.99,ACH_DEBIT,3610.73,
DEBIT,04/15/2026,ATM WITHDRAWAL #4521,-100.00,ATM,3700.72,
DEBIT,04/12/2026,VENMO PAYMENT,-45.00,ACH_DEBIT,3800.72,
CREDIT,04/10/2026,ZELLE FROM FRIEND,150.00,QUICKPAY_CREDIT,3845.72,
DEBIT,04/08/2026,GEICO INSURANCE,-128.40,ACH_DEBIT,3695.72,
CREDIT,04/05/2026,REFUND - AMAZON,42.18,MISC_CREDIT,3824.12,
DEBIT,04/02/2026,ELECTRIC COMPANY,-72.55,ACH_DEBIT,3781.94,
DEBIT,03/30/2026,WATER UTILITY,-38.20,ACH_DEBIT,3854.49,
CREDIT,03/28/2026,INTEREST PAYMENT,1.24,MISC_CREDIT,3892.69,
DEBIT,03/22/2026,GYM MEMBERSHIP,-49.00,ACH_DEBIT,3891.45,
