Date,Merchant,Category,Account,Original Statement,Notes,Amount,Tags,Owner,Business Entity
2026-05-15,Trader Joe's,Groceries,Demo Checking *1234,TRADER JOE'S #123,,-67.42,,,
2026-05-15,Shell,Gas,Demo Checking *1234,SHELL OIL 12345,,-48.10,,,
2026-05-14,Starbucks,Restaurants & Bars,Demo Credit *5678,STARBUCKS #4421,,-6.85,,,
2026-05-14,Acme Employer,Paychecks,Demo Checking *1234,DIRECT DEPOSIT - ACME PAYROLL,,3850.00,,,
2026-05-13,Netflix,Entertainment & Recreation,Demo Credit *5678,NETFLIX.COM,,-15.99,,,
2026-05-12,Whole Foods,Groceries,Demo Checking *1234,WHOLEFDS NYC,,-112.30,,,
2026-05-11,Amazon,Shopping,Demo Credit *5678,AMZN MKTP US,,-34.27,,,
2026-05-10,Chase Card Payment,Credit Card Payment,Demo Checking *1234,CHASE CREDIT CRD AUTOPAY,,-420.55,,,
2026-05-10,Chase Card Payment,Credit Card Payment,Demo Credit *5678,Payment Thank You,,420.55,,,
2026-05-09,Uber,Public Transit,Demo Credit *5678,UBER TRIP,,-18.40,,,
2026-05-08,Local Cafe,Restaurants & Bars,Demo Credit *5678,LOCAL CAFE,,-12.75,,,
2026-05-07,ATM Withdrawal,Cash & ATM,Demo Checking *1234,ATM WITHDRAWAL #4521,,-100.00,,,
2026-05-05,Comcast,Internet & Cable,Demo Checking *1234,COMCAST XFINITY,,-89.99,,,
2026-05-03,Spotify,Entertainment & Recreation,Demo Credit *5678,SPOTIFY USA,,-9.99,,,
2026-05-01,Landlord,Rent,Demo Checking *1234,RENT PAYMENT,,-1800.00,,,
2026-04-28,Trader Joe's,Groceries,Demo Checking *1234,TRADER JOE'S #123,,-54.18,,,
2026-04-26,Costco,Groceries,Demo Credit *5678,COSTCO WHSE #0421,,-184.67,,,
2026-04-25,Acme Employer,Paychecks,Demo Checking *1234,DIRECT DEPOSIT - ACME PAYROLL,,3850.00,,,
2026-04-22,Shell,Gas,Demo Checking *1234,SHELL OIL 12345,,-52.30,,,
2026-04-20,REI,Shopping,Demo Credit *5678,REI #51,,-129.00,,,
